Sex,Age,Percentile,Squat,Squat_LL,Squat_UL,Bench,Bench_LL,Bench_UL,Deadlift,Deadlift_LL,Deadlift_UL
Female,12-17,90th,1.95,1.94,1.96,1.14,1.13,1.15,2.30,2.29,2.31
Female,12-17,80th,1.77,1.76,1.78,1.02,1.01,1.02,2.11,2.10,2.12
Female,12-17,70th,1.65,1.64,1.66,0.94,0.93,0.94,1.98,1.97,1.98
Female,12-17,60th,1.55,1.54,1.55,0.87,0.87,0.87,1.87,1.86,1.88
Female,12-17,50th,1.45,1.44,1.46,0.81,0.81,0.81,1.76,1.76,1.77
Female,12-17,40th,1.36,1.36,1.37,0.75,0.75,0.76,1.66,1.66,1.67
Female,12-17,30th,1.26,1.26,1.27,0.70,0.69,0.70,1.55,1.55,1.56
Female,12-17,20th,1.15,1.15,1.16,0.63,0.63,0.64,1.43,1.42,1.43
Female,12-17,10th,1.01,1.00,1.01,0.56,0.55,0.56,1.26,1.25,1.26
Female,18-35,90th,2.26,2.25,2.26,1.35,1.35,1.35,2.66,2.66,2.67
Female,18-35,80th,2.07,2.06,2.07,1.20,1.20,1.20,2.45,2.45,2.46
Female,18-35,70th,1.93,1.93,1.93,1.10,1.10,1.11,2.30,2.30,2.30
Female,18-35,60th,1.82,1.82,1.83,1.03,1.03,1.03,2.17,2.17,2.18
Female,18-35,50th,1.72,1.72,1.72,0.96,0.96,0.97,2.06,2.05,2.06
Female,18-35,40th,1.62,1.62,1.63,0.90,0.90,0.90,1.94,1.94,1.94
Female,18-35,30th,1.52,1.52,1.52,0.84,0.83,0.84,1.82,1.81,1.82
Female,18-35,20th,1.40,1.39,1.40,0.77,0.76,0.77,1.68,1.68,1.68
Female,18-35,10th,1.23,1.23,1.24,0.67,0.67,0.68,1.49,1.48,1.49
Female,36-59,90th,2.05,2.04,2.06,1.28,1.28,1.29,2.51,2.50,2.51
Female,36-59,80th,1.85,1.85,1.86,1.14,1.14,1.14,2.28,2.28,2.29
Female,36-59,70th,1.73,1.72,1.73,1.04,1.04,1.05,2.13,2.12,2.13
Female,36-59,60th,1.61,1.60,1.61,0.97,0.97,0.97,2.00,1.99,2.00
Female,36-59,50th,1.51,1.50,1.51,0.90,0.90,0.90,1.88,1.87,1.88
Female,36-59,40th,1.41,1.40,1.41,0.84,0.83,0.84,1.76,1.75,1.76
Female,36-59,30th,1.30,1.29,1.30,0.77,0.77,0.77,1.64,1.63,1.64
Female,36-59,20th,1.17,1.17,1.18,0.70,0.70,0.71,1.50,1.49,1.50
Female,36-59,10th,1.01,1.00,1.01,0.62,0.61,0.62,1.32,1.31,1.32
Female,60-79,90th,1.65,1.63,1.67,1.04,1.04,1.06,2.19,2.17,2.20
Female,60-79,80th,1.48,1.47,1.50,0.93,0.93,0.94,1.98,1.97,2.00
Female,60-79,70th,1.36,1.35,1.38,0.85,0.84,0.86,1.85,1.82,1.86
Female,60-79,60th,1.26,1.25,1.28,0.77,0.77,0.78,1.71,1.70,1.72
Female,60-79,50th,1.17,1.15,1.18,0.72,0.71,0.73,1.60,1.59,1.61
Female,60-79,40th,1.08,1.06,1.09,0.67,0.66,0.67,1.49,1.48,1.51
Female,60-79,30th,0.99,0.97,1.00,0.62,0.61,0.62,1.39,1.37,1.40
Female,60-79,20th,0.87,0.85,0.89,0.56,0.56,0.57,1.27,1.26,1.28
Female,60-79,10th,0.72,0.69,0.74,0.49,0.48,0.50,1.11,1.09,1.13
Female,80+,90th,1.01,0.95,1.21,0.92,0.81,1.00,1.68,1.63,1.73
Female,80+,80th,0.96,0.83,1.01,0.74,0.68,0.89,1.61,1.49,1.66
Female,80+,70th,0.90,0.73,0.97,0.67,0.59,0.73,1.47,1.28,1.58
Female,80+,60th,0.78,0.58,0.94,0.59,0.54,0.66,1.28,1.16,1.45
Female,80+,50th,0.67,0.51,0.83,0.55,0.49,0.59,1.16,0.97,1.28
Female,80+,40th,0.55,0.41,0.75,0.49,0.46,0.54,0.97,0.85,1.16
Female,80+,30th,0.49,0.30,0.62,0.46,0.44,0.49,0.84,0.70,0.97
Female,80+,20th,0.32,0.29,0.51,0.43,0.42,0.46,0.70,0.62,0.82
Female,80+,10th,0.29,0.08,0.32,0.41,0.37,0.43,0.61,0.55,0.67
Male,12-17,90th,2.50,2.50,2.51,1.63,1.63,1.64,2.90,2.89,2.90
Male,12-17,80th,2.30,2.30,2.31,1.49,1.49,1.50,2.69,2.68,2.69
Male,12-17,70th,2.16,2.16,2.17,1.40,1.39,1.40,2.53,2.53,2.54
Male,12-17,60th,2.04,2.03,2.04,1.32,1.31,1.32,2.41,2.40,2.41
Male,12-17,50th,1.92,1.92,1.93,1.24,1.24,1.25,2.28,2.27,2.28
Male,12-17,40th,1.80,1.80,1.81,1.17,1.17,1.17,2.15,2.14,2.15
Male,12-17,30th,1.67,1.67,1.68,1.09,1.08,1.09,2.01,2.01,2.02
Male,12-17,20th,1.52,1.52,1.53,0.99,0.98,0.99,1.85,1.84,1.85
Male,12-17,10th,1.32,1.31,1.33,0.85,0.85,0.85,1.61,1.61,1.62
Male,18-35,90th,2.83,2.83,2.83,1.96,1.96,1.96,3.25,3.25,3.25
Male,18-35,80th,2.63,2.63,2.63,1.81,1.81,1.81,3.03,3.03,3.03
Male,18-35,70th,2.50,2.49,2.50,1.71,1.71,1.71,2.87,2.87,2.28
Male,18-35,60th,2.38,2.38,2.38,1.63,1.63,1.63,2.75,2.74,2.75
Male,18-35,50th,2.28,2.27,2.28,1.56,1.55,1.56,2.63,2.62,2.63
Male,18-35,40th,2.17,2.17,2.17,1.48,1.48,1.48,2.51,2.51,2.51
Male,18-35,30th,2.06,2.06,2.06,1.40,1.40,1.40,2.40,2.38,2.39
Male,18-35,20th,1.93,1.93,1.93,1.31,1.31,1.31,2.24,2.23,2.24
Male,18-35,10th,1.75,1.74,1.75,1.19,1.18,1.19,2.03,2.02,2.03
Male,36-59,90th,2.58,2.57,2.59,1.92,1.91,1.92,2.98,2.97,2.99
Male,36-59,80th,2.38,2.38,2.39,1.77,1.77,1.77,2.75,2.74,2.75
Male,36-59,70th,2.24,2.24,2.25,1.67,1.67,1.67,2.59,2.59,2.60
Male,36-59,60th,2.13,2.13,2.13,1.59,1.59,1.59,2.46,2.46,2.47
Male,36-59,50th,2.03,2.02,2.03,1.51,1.51,1.52,2.34,2.33,2.34
Male,36-59,40th,1.92,1.91,1.92,1.44,1.43,1.44,2.22,2.21,2.22
Male,36-59,30th,1.81,1.80,1.81,1.36,1.35,1.36,2.09,2.09,2.10
Male,36-59,20th,1.67,1.67,1.68,1.26,1.29,1.27,1.95,1.94,1.95
Male,36-59,10th,1.48,1.48,1.49,1.13,1.13,1.13,1.75,1.74,1.75
Male,60-79,90th,2.16,2.15,2.18,1.60,1.60,1.61,2.64,2.63,2.65
Male,60-79,80th,1.98,1.97,1.99,1.47,1.46,1.48,2.44,2.42,2.44
Male,60-79,70th,1.85,1.84,1.86,1.38,1.37,1.38,2.27,2.26,2.28
Male,60-79,60th,1.74,1.72,1.75,1.30,1.30,1.31,2.14,2.13,2.15
Male,60-79,50th,1.62,1.61,1.63,1.23,1.23,1.24,2.02,2.00,2.03
Male,60-79,40th,1.50,1.49,1.52,1.16,1.16,1.17,1.89,1.87,1.90
Male,60-79,30th,1.38,1.36,1.39,1.09,1.08,1.09,1.75,1.74,1.76
Male,60-79,20th,1.23,1.22,1.24,1.00,0.99,1.00,1.61,1.60,1.62
Male,60-79,10th,1.04,1.02,1.05,0.88,0.87,0.88,1.42,1.41,1.44
Male,80+,90th,1.72,1.60,1.81,1.31,1.28,1.34,2.30,2.24,2.39
Male,80+,80th,1.52,1.46,1.60,1.21,1.17,1.23,2.07,1.99,2.14
Male,80+,70th,1.37,1.27,1.47,1.10,1.06,1.12,1.81,1.73,1.93
Male,80+,60th,1.22,1.13,1.32,1.00,0.98,1.03,1.63,1.57,1.69
Male,80+,50th,1.11,1.01,1.18,0.93,0.90,0.96,1.50,1.46,1.56
Male,80+,40th,0.99,0.92,1.03,0.86,0.84,0.88,1.40,1.36,1.45
Male,80+,30th,0.89,0.83,0.95,0.80,0.77,0.82,1.24,1.19,1.34
Male,80+,20th,0.79,0.70,0.86,0.73,0.70,0.75,1.12,1.09,1.17
Male,80+,10th,0.52,0.47,0.68,0.61,0.57,0.63,0.96,0.93,1.03